Brand,Label,Category,Price,Ingredients,Skin_Type,Benefits,Reviews
La Roche-Posay,Cicaplast Baume B5,Treatment,44.73795681928052,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Very gentle and effective, great for sensitive skin."
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,24.19090106000357,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing",Absolutely love this product! My skin feels amazing.
Neutrogena,Oil-Free Moisturizer,Moisturizer,80.40704906717458,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Good for daily use, but no visible difference."
The Inkey List,Salicylic Acid Cleanser,Cleanser,34.9325350937456,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Helped my acne significantly, highly recommend!"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,54.02406596920896,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening",Smells great and absorbs quickly.
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,62.26360871907985,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Didn't work for me, caused breakouts."
Glossier,Solution,Exfoliant,19.660299065117258,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity",Absolutely love this product! My skin feels amazing.
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,88.38533795327706,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Good for daily use, but no visible difference."
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,12.857442975349894,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Very gentle and effective, great for sensitive skin."
CeraVe,Hydrating Cleanser,Cleanser,12.501242676566632,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Irritated my skin, won’t repurchase."
La Roche-Posay,Effaclar Duo,Treatment,60.98249366910115,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Irritated my skin, won’t repurchase."
The Ordinary,Hyaluronic Acid 2% + B5,Serum,28.629188799091608,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping",Decent moisturizer but not worth the hype.
Neutrogena,Hydro Boost Gel Cream,Moisturizer,64.59670722132093,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Left a sticky residue, not a fan."
CeraVe,Moisturizing Cream,Moisturizer,83.50180769132783,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair",Too expensive for the quality.
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,39.48291713279497,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Left a sticky residue, not a fan."
La Roche-Posay,Cicaplast Baume B5,Treatment,68.99136711635407,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing",Too expensive for the quality.
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,22.40628727305892,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Good for daily use, but no visible difference."
Neutrogena,Oil-Free Moisturizer,Moisturizer,58.30888017809432,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Didn't work for me, caused breakouts."
The Inkey List,Salicylic Acid Cleanser,Cleanser,98.18035458702938,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control",Smells great and absorbs quickly.
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,90.9613802464936,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening",Decent moisturizer but not worth the hype.
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,47.54858012770564,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Good for daily use, but no visible difference."
Glossier,Solution,Exfoliant,28.63169505266561,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Left a sticky residue, not a fan."
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,33.29993156087616,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Works well, but I expected better results."
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,53.90343158513926,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes",Smells great and absorbs quickly.
CeraVe,Hydrating Cleanser,Cleanser,72.30118499066883,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Wouldn't buy again, didn't meet my expectations."
La Roche-Posay,Effaclar Duo,Treatment,64.965387001001,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Works well, but I expected better results."
The Ordinary,Hyaluronic Acid 2% + B5,Serum,69.89858194720375,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Left a sticky residue, not a fan."
Neutrogena,Hydro Boost Gel Cream,Moisturizer,65.8015272447455,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Left a sticky residue, not a fan."
CeraVe,Moisturizing Cream,Moisturizer,67.58277321141128,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair",Absolutely love this product! My skin feels amazing.
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,25.95710954068172,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing",Best product I've ever used!
La Roche-Posay,Cicaplast Baume B5,Treatment,81.72933295861782,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Left a sticky residue, not a fan."
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,53.85030070687279,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Irritated my skin, won’t repurchase."
Neutrogena,Oil-Free Moisturizer,Moisturizer,80.45226927648648,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control",Absolutely love this product! My skin feels amazing.
The Inkey List,Salicylic Acid Cleanser,Cleanser,93.6355670322938,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Not bad, but nothing special either."
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,82.76218226529109,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening",Smells great and absorbs quickly.
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,26.779940211335973,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Not bad, but nothing special either."
Glossier,Solution,Exfoliant,69.65049269785567,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Left a sticky residue, not a fan."
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,7.583865561969472,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Good for daily use, but no visible difference."
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,64.24234618213302,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Very gentle and effective, great for sensitive skin."
CeraVe,Hydrating Cleanser,Cleanser,22.43701922323392,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Helped my acne significantly, highly recommend!"
La Roche-Posay,Effaclar Duo,Treatment,81.22599649799065,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil",Made my skin feel soft and hydrated!
The Ordinary,Hyaluronic Acid 2% + B5,Serum,75.97522193316446,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping",Absolutely love this product! My skin feels amazing.
Neutrogena,Hydro Boost Gel Cream,Moisturizer,80.0439610381463,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Helped my acne significantly, highly recommend!"
CeraVe,Moisturizing Cream,Moisturizer,16.859836928139277,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Good for daily use, but no visible difference."
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,50.970488002971656,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Left a sticky residue, not a fan."
La Roche-Posay,Cicaplast Baume B5,Treatment,63.27077228707677,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Wouldn't buy again, didn't meet my expectations."
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,8.572013727857204,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Wouldn't buy again, didn't meet my expectations."
Neutrogena,Oil-Free Moisturizer,Moisturizer,57.05636379387601,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Wouldn't buy again, didn't meet my expectations."
The Inkey List,Salicylic Acid Cleanser,Cleanser,81.37197135391199,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control",Decent moisturizer but not worth the hype.
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,14.630341031852389,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Very gentle and effective, great for sensitive skin."
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,17.19056470203378,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration",Smells great and absorbs quickly.
Glossier,Solution,Exfoliant,10.40973248273077,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity",Too expensive for the quality.
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,39.35015452136624,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Not bad, but nothing special either."
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,83.28659875278237,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Very gentle and effective, great for sensitive skin."
CeraVe,Hydrating Cleanser,Cleanser,70.41916262773232,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Irritated my skin, won’t repurchase."
La Roche-Posay,Effaclar Duo,Treatment,56.52579545700828,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil",Best product I've ever used!
The Ordinary,Hyaluronic Acid 2% + B5,Serum,96.17983742109794,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping",Absolutely love this product! My skin feels amazing.
Neutrogena,Hydro Boost Gel Cream,Moisturizer,87.06888295645525,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Irritated my skin, won’t repurchase."
CeraVe,Moisturizing Cream,Moisturizer,47.63765277539125,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair",Too expensive for the quality.
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,18.61449278006183,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing",Best product I've ever used!
La Roche-Posay,Cicaplast Baume B5,Treatment,44.18393286899618,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Good for daily use, but no visible difference."
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,47.47138191914799,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing",Smells great and absorbs quickly.
Neutrogena,Oil-Free Moisturizer,Moisturizer,20.674721275319595,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Helped my acne significantly, highly recommend!"
The Inkey List,Salicylic Acid Cleanser,Cleanser,52.90303636426133,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control",Absolutely love this product! My skin feels amazing.
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,68.41721361627762,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Wouldn't buy again, didn't meet my expectations."
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,63.06240259525626,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration",Best product I've ever used!
Glossier,Solution,Exfoliant,75.8383607492191,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity",Best product I've ever used!
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,99.7744393676639,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Helped my acne significantly, highly recommend!"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,85.436363400385,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes",Made my skin feel soft and hydrated!
CeraVe,Hydrating Cleanser,Cleanser,30.94130950905552,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration",Best product I've ever used!
La Roche-Posay,Effaclar Duo,Treatment,73.96841087672486,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Wouldn't buy again, didn't meet my expectations."
The Ordinary,Hyaluronic Acid 2% + B5,Serum,77.63753885192979,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Left a sticky residue, not a fan."
Neutrogena,Hydro Boost Gel Cream,Moisturizer,22.725835994908973,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Good for daily use, but no visible difference."
CeraVe,Moisturizing Cream,Moisturizer,47.42639591752252,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Helped my acne significantly, highly recommend!"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,42.85950929762577,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Works well, but I expected better results."
La Roche-Posay,Cicaplast Baume B5,Treatment,75.39115757983309,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Very gentle and effective, great for sensitive skin."
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,70.87523834594039,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Works well, but I expected better results."
Neutrogena,Oil-Free Moisturizer,Moisturizer,18.26515335412104,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Left a sticky residue, not a fan."
