Brand,Label,Category,Price,Ingredients,Skin_Type,Benefits,Reviews
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,78.25619285826198,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
CeraVe,Hydrating Cleanser,Cleanser,29.1497867470648,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Lightweight and great for daily use. - Ananya, Chandigarh"
La Roche-Posay,Effaclar Duo,Treatment,20.711914836035263,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,66.93339099420064,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Affordable and effective! Would recommend. - Kunal, Jaipur"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,29.69973411206027,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
CeraVe,Moisturizing Cream,Moisturizer,68.04387897124053,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Kama Ayurveda,BHA Liquid Exfoliant,Exfoliant,86.2894213445134,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Cicaplast Baume B5,Treatment,44.73795681928052,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","A bit expensive, but worth the money. - Sneha, Kolkata"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,24.19090106000357,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Neutrogena,Oil-Free Moisturizer,Moisturizer,80.40704906717458,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Inkey List,Salicylic Acid Cleanser,Cleanser,34.9325350937456,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,54.02406596920896,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Caused a breakout, didn't work for me. - Simran, Pune"
Forest Essentials,Protini Polypeptide Cream,Moisturizer,62.26360871907985,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
Glossier,Solution,Exfoliant,19.660299065117258,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,88.38533795327706,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Forest Essentials,Niacinamide 10% + Zinc 1%,Serum,12.857442975349894,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Himalaya,Hydrating Cleanser,Cleanser,12.501242676566632,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Effaclar Duo,Treatment,60.98249366910115,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Himalaya,Hyaluronic Acid 2% + B5,Serum,28.629188799091608,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Absorbs well but didn't see significant results. - Priya, Bangalore"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,64.59670722132093,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Mamaearth,Moisturizing Cream,Moisturizer,83.50180769132783,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Affordable and effective! Would recommend. - Kunal, Jaipur"
Lotus Herbals,BHA Liquid Exfoliant,Exfoliant,39.48291713279497,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Lightweight and great for daily use. - Ananya, Chandigarh"
La Roche-Posay,Cicaplast Baume B5,Treatment,68.99136711635407,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,22.40628727305892,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Neutrogena,Oil-Free Moisturizer,Moisturizer,58.30888017809432,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Forest Essentials,Salicylic Acid Cleanser,Cleanser,98.18035458702938,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,90.9613802464936,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,47.54858012770564,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
Glossier,Solution,Exfoliant,28.63169505266561,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Kama Ayurveda,Superfood Antioxidant Cleanser,Cleanser,33.29993156087616,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,53.90343158513926,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
CeraVe,Hydrating Cleanser,Cleanser,72.30118499066883,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Feels sticky after applying, but hydrates well. - Arjun, Goa"
La Roche-Posay,Effaclar Duo,Treatment,64.965387001001,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Affordable and effective! Would recommend. - Kunal, Jaipur"
Kama Ayurveda,Hyaluronic Acid 2% + B5,Serum,69.89858194720375,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Caused a breakout, didn't work for me. - Simran, Pune"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,65.8015272447455,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Mamaearth,Moisturizing Cream,Moisturizer,67.58277321141128,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Lightweight and great for daily use. - Ananya, Chandigarh"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,25.95710954068172,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Cicaplast Baume B5,Treatment,81.72933295861782,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,53.85030070687279,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","A bit expensive, but worth the money. - Sneha, Kolkata"
Neutrogena,Oil-Free Moisturizer,Moisturizer,80.45226927648648,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Caused a breakout, didn't work for me. - Simran, Pune"
The Inkey List,Salicylic Acid Cleanser,Cleanser,93.6355670322938,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Lotus Herbals,Good Genes Lactic Acid Treatment,Treatment,82.76218226529109,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,26.779940211335973,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Glossier,Solution,Exfoliant,69.65049269785567,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,7.583865561969472,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,64.24234618213302,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
CeraVe,Hydrating Cleanser,Cleanser,22.43701922323392,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
Kama Ayurveda,Effaclar Duo,Treatment,81.22599649799065,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Affordable and effective! Would recommend. - Kunal, Jaipur"
Lotus Herbals,Hyaluronic Acid 2% + B5,Serum,75.97522193316446,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Caused a breakout, didn't work for me. - Simran, Pune"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,80.0439610381463,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Affordable and effective! Would recommend. - Kunal, Jaipur"
Kama Ayurveda,Moisturizing Cream,Moisturizer,16.859836928139277,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,50.970488002971656,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
La Roche-Posay,Cicaplast Baume B5,Treatment,63.27077228707677,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,8.572013727857204,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Affordable and effective! Would recommend. - Kunal, Jaipur"
Neutrogena,Oil-Free Moisturizer,Moisturizer,57.05636379387601,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","A bit expensive, but worth the money. - Sneha, Kolkata"
The Inkey List,Salicylic Acid Cleanser,Cleanser,81.37197135391199,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Caused a breakout, didn't work for me. - Simran, Pune"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,14.630341031852389,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","A bit expensive, but worth the money. - Sneha, Kolkata"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,17.19056470203378,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Caused a breakout, didn't work for me. - Simran, Pune"
Glossier,Solution,Exfoliant,10.40973248273077,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Absorbs well but didn't see significant results. - Priya, Bangalore"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,39.35015452136624,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,83.28659875278237,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
CeraVe,Hydrating Cleanser,Cleanser,70.41916262773232,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
La Roche-Posay,Effaclar Duo,Treatment,56.52579545700828,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Affordable and effective! Would recommend. - Kunal, Jaipur"
Himalaya,Hyaluronic Acid 2% + B5,Serum,96.17983742109794,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Forest Essentials,Hydro Boost Gel Cream,Moisturizer,87.06888295645525,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Feels sticky after applying, but hydrates well. - Arjun, Goa"
CeraVe,Moisturizing Cream,Moisturizer,47.63765277539125,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Affordable and effective! Would recommend. - Kunal, Jaipur"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,18.61449278006183,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Affordable and effective! Would recommend. - Kunal, Jaipur"
La Roche-Posay,Cicaplast Baume B5,Treatment,44.18393286899618,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Absorbs well but didn't see significant results. - Priya, Bangalore"
Lotus Herbals,AHA 30% + BHA 2% Peeling Solution,Treatment,47.47138191914799,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Neutrogena,Oil-Free Moisturizer,Moisturizer,20.674721275319595,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","A bit expensive, but worth the money. - Sneha, Kolkata"
The Inkey List,Salicylic Acid Cleanser,Cleanser,52.90303636426133,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Absorbs well but didn't see significant results. - Priya, Bangalore"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,68.41721361627762,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Himalaya,Protini Polypeptide Cream,Moisturizer,63.06240259525626,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
Glossier,Solution,Exfoliant,75.8383607492191,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Forest Essentials,Superfood Antioxidant Cleanser,Cleanser,99.7744393676639,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,85.436363400385,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Mamaearth,Hydrating Cleanser,Cleanser,30.94130950905552,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
La Roche-Posay,Effaclar Duo,Treatment,73.96841087672486,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Caused a breakout, didn't work for me. - Simran, Pune"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,77.63753885192979,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Lotus Herbals,Hydro Boost Gel Cream,Moisturizer,22.725835994908973,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
CeraVe,Moisturizing Cream,Moisturizer,47.42639591752252,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Affordable and effective! Would recommend. - Kunal, Jaipur"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,42.85950929762577,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Biotique,Cicaplast Baume B5,Treatment,75.39115757983309,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,70.87523834594039,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Neutrogena,Oil-Free Moisturizer,Moisturizer,18.26515335412104,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Inkey List,Salicylic Acid Cleanser,Cleanser,53.00030920939297,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,16.63640747885694,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,42.00853605477881,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
Glossier,Solution,Exfoliant,92.46706247268108,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Caused a breakout, didn't work for me. - Simran, Pune"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,32.13384372654527,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,15.312775646950886,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
CeraVe,Hydrating Cleanser,Cleanser,72.4323768988953,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
La Roche-Posay,Effaclar Duo,Treatment,51.79985025422717,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Lotus Herbals,Hyaluronic Acid 2% + B5,Serum,85.88328797595389,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Affordable and effective! Would recommend. - Kunal, Jaipur"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,27.04967803227912,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Biotique,Moisturizing Cream,Moisturizer,96.74605338687483,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","A bit expensive, but worth the money. - Sneha, Kolkata"
Biotique,BHA Liquid Exfoliant,Exfoliant,48.6288124202506,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Cicaplast Baume B5,Treatment,52.124927774520025,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,79.25308190796447,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Himalaya,Oil-Free Moisturizer,Moisturizer,43.686860501342096,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Inkey List,Salicylic Acid Cleanser,Cleanser,55.05843845046736,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,21.73288943784188,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Lightweight and great for daily use. - Ananya, Chandigarh"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,71.94548576209814,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Glossier,Solution,Exfoliant,97.20679974744657,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Lotus Herbals,Superfood Antioxidant Cleanser,Cleanser,38.97282613991368,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,7.926693339646826,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Affordable and effective! Would recommend. - Kunal, Jaipur"
Lotus Herbals,Hydrating Cleanser,Cleanser,70.03907108621642,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Caused a breakout, didn't work for me. - Simran, Pune"
La Roche-Posay,Effaclar Duo,Treatment,32.35244983851584,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Absorbs well but didn't see significant results. - Priya, Bangalore"
Kama Ayurveda,Hyaluronic Acid 2% + B5,Serum,31.185486674964388,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","A bit expensive, but worth the money. - Sneha, Kolkata"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,41.706819884634,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
